Out bits shaXX number = 15
----------------------------------------------
Collision number 129: ('ab3a75', 'd05e71')
Collision number 130: ('aa6b92', 'c586aa')
Collision number 131: ('dbf05b', 'a2405d')
Collision number 132: ('df2451', '7c9224')
Collision number 133: ('47efcb', '162824')
Collision number 134: ('f2fac3', 'eccdb8')
Collision number 135: ('9699ca', '0ef09e')
Collision number 136: ('5e4922', 'cb0c12')
Collision number 137: ('d4cd5e', '342ee5')
Collision number 138: ('a27f75', '10d851')
Collision number 139: ('e48d88', '66a4b7')
Collision number 140: ('333200', '905c77')
Collision number 141: ('540faa', 'a20d95')
Collision number 142: ('cf6be0', '86d3ba')
Collision number 143: ('807dd6', 'd37af1')
Collision number 144: ('c5fe45', 'ca91b8')
Collision number 145: ('e873f9', '34f5fb')
Collision number 146: ('a79fe6', '6a8822')
Collision number 147: ('9b0f9c', 'c3f230')
Collision number 148: ('7e3f58', 'd9c9e6')
Collision number 149: ('42a5a9', '2edaa9')
Collision number 150: ('adca50', 'f39827')
Collision number 151: ('449bf3', '2a3b73')
Collision number 152: ('4bc37b', 'bf8c89')
Collision number 153: ('8dd7a2', 'ad9096')
Collision number 154: ('d51fab', '70106e')
Collision number 155: ('51382b', '33f956')
Collision number 156: ('1ea104', '69a774')
Collision number 157: ('dbb990', '6a97a6')
Collision number 158: ('568da6', '1762c0')
Collision number 159: ('70223a', 'a347dc')
Collision number 160: ('35f4ed', 'aee477')
Collision number 161: ('5f5756', '430ded')
Collision number 162: ('f22da9', '48f329')
Collision number 163: ('071a58', 'ff1d2a')
Collision number 164: ('4ec2cf', 'fc1b91')
Collision number 165: ('bf28ac', '38aba8')
Collision number 166: ('7b2d45', 'e783e7')
Collision number 167: ('51f0e1', 'cc6f69')
Collision number 168: ('74d83e', '4a9198')
Collision number 169: ('6377f3', 'de0a83')
Collision number 170: ('a6d1fa', 'e63538')
Collision number 171: ('0cec23', 'bf06ca')
Collision number 172: ('87b41a', '2571a3')
Collision number 173: ('8949e5', '4af646')
Collision number 174: ('b97053', 'fc975d')
Collision number 175: ('ec0d38', '54b067')
Collision number 176: ('137a4a', '4572d3')
Collision number 177: ('27c8df', 'e51b94')
Collision number 178: ('2b6bff', 'd2802e')
Collision number 179: ('2e626f', 'dbc1b1')
Collision number 180: ('58cbb0', 'c68b3f')
Collision number 181: ('f3d638', 'f4e158')
Collision number 182: ('2d19d8', '118f51')
Collision number 183: ('a29a76', 'aa6bf5')
Collision number 184: ('cc2eff', '11f4a1')
Collision number 185: ('6c94a0', '6c94a0')
Collision number 186: ('b279a1', 'e0605f')
Collision number 187: ('1f46d8', '68a0b2')
Collision number 188: ('ebbae9', '7e0365')
Collision number 189: ('2016d0', 'cafc9e')
Collision number 190: ('c2ddcf', '17eebc')
Collision number 191: ('bd90e7', 'bab4de')
Collision number 192: ('75df4b', '521b54')
Collision number 193: ('c56729', 'd9d0c3')
Collision number 194: ('8eddeb', '187965')
Collision number 195: ('31ef34', 'd346f8')
Collision number 196: ('965fb2', 'baeb5b')
Collision number 197: ('6920ed', 'a1fabe')
Collision number 198: ('7fd915', '736d88')
Collision number 199: ('c243d1', '10f23b')
Collision number 200: ('db53be', '9566bb')
Out bits shaXX number = 18
----------------------------------------------
Collision number 1: ('4112b9', 'f2629a')
Collision number 2: ('fdc80c', 'a4bfc8')
Collision number 3: ('f11595', '6fc4f7')
Collision number 4: ('3bdb0c', '4b58a6')
Collision number 5: ('d24d6a', '6a576c')
Collision number 6: ('795c0a', '40d1dc')
Collision number 7: ('546a9a', '9817a8')
Collision number 8: ('83ac4a', '768743')
Collision number 9: ('d88b4f', '81698a')
Collision number 10: ('435e5f', '0c65cd')
Collision number 11: ('9597a1', '5b6f24')
Collision number 12: ('8f1756', '6064ca')
Collision number 13: ('72f3fe', '6601ee')
Collision number 14: ('ecfede', '49388d')
Collision number 15: ('110c69', '1fe794')
Collision number 16: ('77a4bd', '5edcc0')
Collision number 17: ('98aecd', '43688d')
Collision number 18: ('fc9196', 'c16173')
Collision number 19: ('06c30c', 'd532fb')
Collision number 20: ('060bf7', 'a368a8')
Collision number 21: ('fbc4e8', 'ee44a4')
Collision number 22: ('55df22', 'da0b11')
Collision number 23: ('75c3e7', '5324f0')
Collision number 24: ('c7366d', 'd8fd6c')
Collision number 25: ('0bfee5', 'da84c7')
Collision number 26: ('9b09bc', '74a352')
Collision number 27: ('606161', 'e4d0c8')
Collision number 28: ('694393', '76ab42')
Collision number 29: ('4289d2', '63a6b3')
Collision number 30: ('f0969e', '2ff1ab')
Collision number 31: ('f0e574', 'ae8be9')
Collision number 32: ('43c405', '396c98')
Collision number 33: ('cfc6bd', 'cf804c')
Collision number 34: ('537555', '1f1058')
Collision number 35: ('b3eba2', '312f3c')
Collision number 36: ('ff5cc4', '78823e')
